member,exp_name,exp_num,block_size,n_layer,n_head,n_embd,batch_size,max_iters,dropout,num_parameters,final_train_loss,final_val_loss,duration,val_train_gap
member2,exp_006_bs64_nl6_nh4_ne128_bsz16_mi25_dr0.2,6,64,6,4,128,16,25,0.2,1.19,2.9819,2.9956,12.83,0.013700000000000045
member2,exp_007_bs64_nl6_nh4_ne128_bsz16_mi50_dr0.1,7,64,6,4,128,16,50,0.1,1.19,2.6881,2.7105,21.73,0.022400000000000198
member2,exp_008_bs64_nl6_nh4_ne128_bsz16_mi50_dr0.2,8,64,6,4,128,16,50,0.2,1.19,2.7085,2.7315,22.03,0.02300000000000013
member2,exp_009_bs64_nl6_nh4_ne256_bsz8_mi25_dr0.1,9,64,6,4,256,8,25,0.1,4.74,2.8054,2.8152,18.0,0.009799999999999809
member2,exp_010_bs64_nl6_nh4_ne256_bsz8_mi25_dr0.2,10,64,6,4,256,8,25,0.2,4.74,2.863,2.8675,17.75,0.0045000000000001705
member2,exp_011_bs64_nl6_nh4_ne256_bsz8_mi50_dr0.1,11,64,6,4,256,8,50,0.1,4.74,2.625,2.6469,32.85,0.02190000000000003
member2,exp_012_bs64_nl6_nh4_ne256_bsz8_mi50_dr0.2,12,64,6,4,256,8,50,0.2,4.74,2.6429,2.6639,33.27,0.020999999999999908
member2,exp_013_bs64_nl6_nh4_ne256_bsz16_mi25_dr0.1,13,64,6,4,256,16,25,0.1,4.74,2.7522,2.7533,31.42,0.0010999999999996568
member2,exp_014_bs64_nl6_nh4_ne256_bsz16_mi25_dr0.2,14,64,6,4,256,16,25,0.2,4.74,2.7698,2.7787,31.65,0.00890000000000013
member2,exp_015_bs64_nl6_nh4_ne256_bsz16_mi50_dr0.1,15,64,6,4,256,16,50,0.1,4.74,2.575,2.5809,58.72,0.005900000000000016
member2,exp_016_bs64_nl6_nh4_ne256_bsz16_mi50_dr0.2,16,64,6,4,256,16,50,0.2,4.74,2.584,2.5873,58.81,0.0032999999999998586
member2,exp_017_bs64_nl6_nh8_ne128_bsz8_mi25_dr0.1,17,64,6,8,128,8,25,0.1,1.19,3.0151,3.0173,8.73,0.002200000000000202
member2,exp_018_bs64_nl6_nh8_ne128_bsz8_mi25_dr0.2,18,64,6,8,128,8,25,0.2,1.19,3.0353,3.0344,8.65,-0.0008999999999996788
member2,exp_019_bs64_nl6_nh8_ne128_bsz8_mi50_dr0.1,19,64,6,8,128,8,50,0.1,1.19,2.8002,2.7899,13.9,-0.010299999999999976
